date;total_time_mins;insta_mins;youtube_mins;whatsapp_mins;google_mins;duolingo_mins
29/09/2025;155;45;39;15;5;39
30/09/2025;200;82;20;38;6;38
01/10/2025;171;51;16;55;10;23
02/10/2025;221;87;22;54;8;13
03/10/2025;261;101;42;20;21;25
04/10/2025;167;53;30;20;2;7
05/10/2025;261;43;46;31;7;22
06/10/2025;165;51;20;9;16;0
07/10/2025;208;68;8;67;7;0
08/10/2025;141;72;31;21;8;0
09/10/2025;171;104;28;15;11;0
10/10/2025;96;52;4;20;3;0
11/10/2025;261;100;31;16;16;0
12/10/2025;249;55;22;90;6;0
13/10/2025;184;66;0;28;24;0
14/10/2025;144;77;18;31;3;0
15/10/2025;100;78;5;4;4;0
16/10/2025;198;136;9;37;8;0
17/10/2025;128;44;0;58;17;0
18/10/2025;105;30;16;42;5;0
19/10/2025;201;84;12;79;15;0
20/10/2025;159;59;13;70;7;0
21/10/2025;214;91;23;78;9;0
22/10/2025;126;55;13;28;8;0
23/10/2025;93;29;18;30;8;0
24/10/2025;58;20;12;9;5;0
25/10/2025;98;22;5;58;2;0
26/10/2025;248;61;41;48;75;0
27/10/2025;124;46;23;17;19;0
28/10/2025;171;95;17;37;7;0
29/10/2025;113;53;12;27;8;0
30/10/2025;153;55;23;66;2;0
31/10/2025;112;18;0;69;9;0
01/11/2025;221;103;53;26;34;0
02/11/2025;164;113;21;21;4;0
03/11/2025;145;50;7;36;12;0
04/11/2025;214;96;36;43;7;0
05/11/2025;141;38;20;46;17;0
06/11/2025;236;92;27;102;4;0
07/11/2025;168;44;21;69;21;0
08/11/2025;236;126;43;38;12;0
09/11/2025;236;121;61;17;6;0
10/11/2025;137;53;0;50;12;0
11/11/2025;153;51;25;18;34;0
12/11/2025;87;44;18;7;8;0
13/11/2025;165;65;20;19;15;0
14/11/2025;92;31;8;20;9;0
15/11/2025;215;141;42;30;2;0
16/11/2025;218;71;58;48;25;0
17/11/2025;151;66;4;52;11;0
18/11/2025;110;53;21;15;5;0
19/11/2025;178;65;18;78;5;0
20/11/2025;188;54;32;60;15;0
21/11/2025;144;61;26;31;17;0
22/11/2025;258;86;125;11;24;0
23/11/2025;243;68;118;25;16;0
24/11/2025;209;85;16;59;5;0
25/11/2025;141;46;39;24;8;0
26/11/2025;205;86;57;20;19;0
27/11/2025;142;65;34;8;24;0
28/11/2025;152;67;41;18;9;0
29/11/2025;194;88;55;39;7;0
